num_nodes,num_broadcasts,avg_mean_phase_diff_after_synchronization,avg_max_phase_diff_after_synchronization,time_until_synchronization_human_readable,rng_seed,ms_prob
50,227,0.27,1.32,922.9,1715993718055688000,1.0
50,222,0.38,1.49,933.5,1715993729132913000,1.0
50,219,0.34,1.59,803.0,1715993729134105000,1.0
50,243,0.55,1.71,878.8,1715993729420630000,1.0
50,211,0.28,1.03,606.5,1715993729450583000,1.0
50,212,0.24,1.26,493.6,1715993729524355000,1.0
50,247,0.29,1.24,1127.3,1715993729518020000,1.0
50,213,0.31,1.52,600.6,1715993740599268000,1.0
50,266,0.33,1.4,1074.2,1715993740576103000,1.0
50,189,0.27,1.02,558.4,1715993741100907000,1.0
50,207,0.37,1.21,578.1,1715993741055964000,1.0
50,219,0.31,1.42,823.4,1715993741213460000,1.0
50,208,0.3,1.11,784.4,1715993741370416000,1.0
50,211,0.24,0.98,687.6,1715993751734171000,1.0
50,239,0.29,1.18,672.1,1715993751734119000,1.0
50,236,0.29,1.0,575.9,1715993752348861000,1.0
50,196,0.3,1.35,1015.5,1715993752114127000,1.0
50,217,0.5,1.85,804.9,1715993752618058000,1.0
50,214,0.41,1.7,1199.2,1715993752841200000,1.0
50,226,0.39,1.56,1483.9,1715993765100419000,1.0
50,232,0.34,1.6,788.8,1715993765243310000,1.0
50,216,0.26,1.21,574.0,1715993765697669000,1.0
50,213,0.27,1.13,754.1,1715993765934655000,1.0
50,231,0.48,1.42,1031.4,1715993765732402000,1.0
50,200,0.28,1.21,777.2,1715993766199610000,1.0
50,221,0.35,1.71,496.1,1715993777428210000,1.0
50,224,0.42,1.5,1162.6,1715993777272285000,1.0
50,220,0.42,1.28,664.2,1715993778319760000,1.0
50,216,0.26,0.91,692.1,1715993778453843000,1.0
50,245,0.29,1.22,1042.4,1715993778318607000,1.0
50,220,0.39,1.3,687.1,1715993778842529000,1.0
50,222,0.38,1.89,835.8,1715993789762606000,1.0
50,222,0.21,0.9,783.1,1715993789835768000,1.0
50,203,0.24,0.89,584.9,1715993790906084000,1.0
50,210,0.26,1.17,850.8,1715993790552029000,1.0
50,236,0.26,0.96,751.5,1715993791069050000,1.0
50,198,0.3,1.32,831.9,1715993791316036000,1.0
50,218,0.41,1.88,696.0,1715993801098347000,1.0
50,210,0.18,0.71,862.3,1715993801167054000,1.0
50,236,0.44,1.76,940.4,1715993801908942000,1.0
50,238,0.32,1.24,852.9,1715993801910857000,1.0
50,214,0.45,1.52,869.6,1715993802390909000,1.0
50,227,0.31,1.29,894.2,1715993802703433000,1.0
50,209,0.43,1.45,580.9,1715993815984546000,1.0
50,216,0.26,1.15,978.9,1715993816067202000,1.0
50,247,0.21,0.99,970.0,1715993816861353000,1.0
50,245,0.3,0.98,940.4,1715993816954014000,1.0
50,230,0.31,1.12,1086.9,1715993817958924000,1.0
50,206,0.24,0.94,1079.9,1715993817975188000,1.0
50,219,0.4,1.45,877.7,1715993828294950000,1.0
50,220,0.47,1.76,972.4,1715993828294945000,1.0
50,218,0.35,1.2,968.1,1715993829089675000,1.0
50,223,0.35,1.72,1199.1,1715993828913254000,1.0
50,218,0.29,1.25,750.3,1715993830254589000,1.0
50,226,0.32,1.37,959.2,1715993830528426000,1.0
50,217,0.25,1.21,962.3,1715993841731539000,1.0
50,234,0.25,1.01,1547.8,1715993841735277000,1.0
50,208,0.46,1.69,799.4,1715993841900938000,1.0
50,187,0.24,0.82,771.6,1715993842011485000,1.0
50,222,0.3,1.36,1046.5,1715993843305741000,1.0
50,224,0.43,1.61,1409.0,1715993843732040000,1.0
50,248,0.29,1.4,2000.0,1715993859881506000,1.0
50,228,0.38,1.65,877.5,1715993860036461000,1.0
50,209,0.33,1.19,525.4,1715993860061901000,1.0
50,233,0.29,1.04,655.4,1715993860238103000,1.0
50,193,0.47,2.5,624.4,1715993860903511000,1.0
50,218,0.26,0.85,751.5,1715993860832296000,1.0
50,206,0.33,1.77,654.8,1715993870074538000,1.0
50,220,0.41,1.48,791.0,1715993870104983000,1.0
50,214,0.35,1.34,790.1,1715993870121294000,1.0
50,233,0.36,1.23,945.7,1715993870394338000,1.0
50,225,0.32,1.43,865.1,1715993871159670000,1.0
50,229,0.38,1.44,694.0,1715993871300102000,1.0
50,218,0.44,1.61,970.8,1715993880291560000,1.0
50,207,0.41,1.56,396.7,1715993880229273000,1.0
50,241,0.28,1.05,649.8,1715993880352013000,1.0
50,222,0.32,1.4,706.7,1715993880590736000,1.0
50,217,0.32,1.39,688.9,1715993881349938000,1.0
50,214,0.41,1.47,1102.7,1715993881434614000,1.0
50,240,0.6,5.24,2000.0,1715993889672834000,1.0
50,233,0.29,1.3,976.1,1715993889840490000,1.0
50,191,0.24,1.09,926.7,1715993889676280000,1.0
50,227,0.35,1.09,1212.1,1715993890018165000,1.0
50,203,0.27,1.0,575.9,1715993890838052000,1.0
50,225,0.28,1.34,790.9,1715993891003696000,1.0
50,232,0.34,1.34,540.9,1715993903638913000,1.0
50,216,0.34,1.54,639.4,1715993903938191000,1.0
50,223,0.44,1.5,1062.2,1715993903898495000,1.0
50,204,0.31,1.27,882.2,1715993904248534000,1.0
